split,image,mask
train,img_153.jpg,img_153.png
train,img_026.jpg,img_026.png
train,img_176.jpg,img_176.png
train,img_143.jpg,img_143.png
train,img_075.jpg,img_075.png
train,img_059.jpg,img_059.png
train,img_148.jpg,img_148.png
train,img_018.jpg,img_018.png
train,img_050.jpg,img_050.png
train,img_093.jpg,img_093.png
train,img_076.jpg,img_076.png
train,img_142.jpg,img_142.png
train,img_021.jpg,img_021.png
train,img_097.jpg,img_097.png
train,img_032.jpg,img_032.png
train,img_138.jpg,img_138.png
train,img_118.jpg,img_118.png
train,img_012.jpg,img_012.png
train,img_068.jpg,img_068.png
train,img_089.jpg,img_089.png
train,img_092.jpg,img_092.png
train,img_025.jpg,img_025.png
train,img_098.jpg,img_098.png
train,img_178.jpg,img_178.png
train,img_186.jpg,img_186.png
val,img_087.jpg,img_087.png
val,img_177.jpg,img_177.png
val,img_040.jpg,img_040.png
val,img_194.jpg,img_194.png
val,img_088.jpg,img_088.png
val,img_181.jpg,img_181.png
val,img_041.jpg,img_041.png
val,img_002.jpg,img_002.png
val,img_072.jpg,img_072.png
val,img_151.jpg,img_151.png
val,img_115.jpg,img_115.png
val,img_057.jpg,img_057.png
val,img_108.jpg,img_108.png
val,img_184.jpg,img_184.png
val,img_167.jpg,img_167.png
val,img_051.jpg,img_051.png
val,img_144.jpg,img_144.png
val,img_192.jpg,img_192.png
val,img_155.jpg,img_155.png
test,img_130.jpg,img_130.png
test,img_060.jpg,img_060.png
test,img_056.jpg,img_056.png
test,img_024.jpg,img_024.png
test,img_008.jpg,img_008.png
test,img_009.jpg,img_009.png
test,img_109.jpg,img_109.png
test,img_152.jpg,img_152.png
test,img_023.jpg,img_023.png
test,img_140.jpg,img_140.png
test,img_174.jpg,img_174.png
test,img_027.jpg,img_027.png
test,img_036.jpg,img_036.png
test,img_058.jpg,img_058.png
test,img_063.jpg,img_063.png
test,img_071.jpg,img_071.png
test,img_190.jpg,img_190.png
test,img_007.jpg,img_007.png
test,img_029.jpg,img_029.png
test,img_164.jpg,img_164.png
